No.,Player,Apps,Mins,Assist,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,Lionel Messi,7,692,3,3,49.6,85,0.7,1.9,0.3,8.25
2,Bruno Fernandes,4,357,3,2.3,50.3,87.6,1.8,5.8,0.8,8.15
3,Kylian Mbappé,6(1),598,2,1.6,28.6,82,0.7,1,0.3,8.00
4,Wojciech Szczesny,4,360,-,-,32.3,55,-,10.3,-,7.88
5,Jean-Charles Castelletto,2,180,1,0.5,39.5,83.5,-,3,0.5,7.71
6,Bukayo Saka,4,293,-,1.3,25.3,79.2,0.8,0.5,-,7.68
7,Jamal Musiala,3,259,1,2.7,34.3,81.6,0.3,1,-,7.64
8,Jude Bellingham,5,415,1,0.8,51.8,90.3,-,2.6,0.2,7.58
9,Cody Gakpo,5,456,-,2,22,73.6,1.6,-,-,7.53
10,Casemiro,4,391,-,1,62,83.1,0.5,2.8,0.3,7.53
11,Mohammed Kudus,3,250,-,-,26.3,75.9,0.3,2,-,7.53
12,Antoine Griezmann,6(1),538,3,3.1,40.7,83.9,2.6,2.7,0.1,7.52
13,Eduardo Camavinga,1(1),140,-,1.5,44,86.4,0.5,0.5,-,7.49
14,Neymar,3,282,1,2,47.3,81,1.3,0.7,-,7.45
15,Richarlison,4,326,-,1.5,14,71.4,-,-,0.3,7.41
16,Devis Epassy,2,180,-,-,36,65.3,-,12.5,-,7.39
17,Rodri,4,391,-,1,171,93.3,0.3,6.5,-,7.37
18,Giorgian de Arrascaeta,1(1),108,-,1.5,22.5,66.7,0.5,-,1,7.37
19,Harry Maguire,5,430,1,0.2,81.2,87.2,-,6.6,-,7.35
20,Harry Kane,5,404,3,1,18,66.7,0.2,0.8,0.2,7.34
21,César Azpilicueta,2,136,1,2,83,95.8,1,3.5,0.5,7.32
22,Mehdi Taremi,3,270,1,3,26,74.4,-,1,-,7.31
23,Edson Álvarez,2,176,-,0.5,57,75.4,-,1,0.5,7.31
24,Serge Gnabry,3,265,1,2,35,75.2,1,-,-,7.31
25,Enner Valencia,3,257,-,1,17.7,69.8,0.7,-,-,7.30
26,Mohammed Al Owais,3,270,-,-,28.7,50,-,6.3,-,7.27
27,Frenkie de Jong,5,477,1,0.8,71.6,89.1,0.2,2,-,7.27
28,Diogo Dalot,3,259,1,1.3,39.7,79.8,0.7,2.7,-,7.27
29,Jordi Alba,3(1),266,2,1.3,80.5,91,0.5,2.5,0.3,7.26
30,Rodrigo Bentancur,3,214,-,0.7,52,85.3,0.3,1.3,-,7.24
31,Ramin Rezaeian,2,180,-,1.5,38.5,74,1,3.5,-,7.23
32,Theo Hernández,5(1),508,2,1.8,46.7,86.8,0.8,2.5,-,7.22
33,Olivier Giroud,6,424,-,0.3,12.2,65.8,-,0.2,0.2,7.21
34,Vinícius Júnior,4,302,2,2,19,86.8,-,0.3,-,7.20
35,Daley Blind,5,424,1,0.4,53,84.9,0.6,3,-,7.19
36,David Raum,3,244,1,2.3,48,87.5,1.7,1.7,-,7.19
37,Adrien Rabiot,5(1),483,1,0.5,45.7,85,0.3,1.5,-,7.18
38,Kai Havertz,1(1),103,-,1,16,81.3,0.5,0.5,-,7.18
39,Randal Kolo Muani,1(2),181,-,-,13.7,61,-,-,-,7.17
40,Ritsu Doan,2(2),218,-,0.8,11.5,69.6,1,0.5,-,7.17
41,Robert Lewandowski,4,360,1,1.3,21.8,70.1,-,0.5,-,7.16
42,Joshua Kimmich,3,270,-,3,80,90.8,1.3,6.3,0.3,7.15
43,Phil Foden,3(1),259,2,1.5,25.5,81.4,1.5,0.5,-,7.15
44,Alex Sandro,2(1),192,-,0.3,47.7,91.6,0.3,-,-,7.14
45,Dani Olmo,4,368,1,1.3,46.8,85.6,0.5,1,-,7.14
46,Lucas Paquetá,4,317,1,1.5,47.8,84.8,0.3,1,-,7.13
47,Andreas Christensen,3,270,-,-,83.7,94.4,-,5,-,7.12
48,Ángel Di María,4(1),291,1,2,27.6,87.7,1.2,0.8,-,7.12
49,Thibaut Courtois,3,270,-,-,36,86.1,-,3.7,-,7.11
50,Alexis Mac Allister,6,556,1,1.3,43.8,89,-,0.8,-,7.11
51,Luis Chávez,3,270,-,1.3,39.7,78.2,2,3.7,-,7.10
52,João Félix,4,333,2,0.8,28.8,76.5,0.3,0.8,-,7.10
53,Leroy Sané,1(1),110,1,2,28,82.1,0.5,0.5,0.5,7.10
54,Ivan Perisic,7,673,3,1.3,32.7,74.7,0.9,0.7,0.1,7.08
55,Henry Martín,2,148,-,2.5,9,72.2,-,-,-,7.08
56,Christian Pulisic,4,316,2,2.3,27.5,72.7,0.8,1.3,0.3,7.07
57,Thiago Silva,4,391,1,1,85.8,93.6,0.3,4.5,0.3,7.07
58,Eric Choupo-Moting,3,254,-,0.7,22,66.7,-,0.7,-,7.07
59,Enzo Fernández,5(2),565,1,0.9,66.9,87.6,0.1,2.3,0.1,7.06
60,Silvan Widmer,3,266,1,0.7,46,75.4,0.7,0.7,-,7.04
61,Achraf Hakimi,7,634,1,0.9,43.1,83.1,0.7,1.9,0.1,7.04
62,Mathías Olivera,3,255,-,1.7,34,74.5,1.3,1,-,7.03
63,Álvaro Morata,1(3),184,1,0.5,10.3,68.3,-,0.8,0.3,7.03
64,Ismaïla Sarr,4,344,-,1.5,17.5,67.1,0.5,-,0.3,7.02
65,Pedri,4,358,-,1.3,107.5,90.9,-,6.5,0.5,7.01
66,Mateo Kovacic,7,640,-,1.3,65.1,90.8,-,2.4,0.1,7.00
67,Leander Dendoncker,2,162,-,0.5,60.5,97.5,-,0.5,-,7.00
68,Andrija Zivkovic,3,213,2,1.3,23.7,83.1,0.3,-,0.3,6.99
69,Aymeric Laporte,3,301,-,0.3,145,94.3,-,3.3,-,6.99
70,Cho Gue-Sung,3(1),276,-,0.3,15.5,64.5,-,0.3,-,6.99
71,Jurriën Timber,4,391,-,-,76.8,90.6,0.3,1.8,-,6.99
72,Hirving Lozano,3,253,-,2.7,16.7,72,1.3,0.3,0.3,6.99
73,Dominik Livakovic,7,692,-,-,26,81.3,-,5.4,-,6.99
74,Gonçalo Ramos,2(2),153,1,0.5,7.8,80.6,-,-,-,6.98
75,Gavi,4,287,-,0.3,37.5,88,0.3,0.5,-,6.98
76,Federico Valverde,3,270,-,1.3,60,86.1,1,4.7,0.3,6.98
77,Ibrahima Konaté,3(2),294,-,0.4,46.6,91.8,-,2.8,0.2,6.98
78,Luka Modric,7,657,-,0.9,73.9,88.6,1,4,-,6.97
79,Julián Álvarez,5(2),467,-,0.3,16.6,77.6,0.1,0.6,-,6.97
80,Ilkay Gündogan,3,192,-,0.3,55.7,89.8,-,2,-,6.96
81,Raphaël Guerreiro,3(1),279,2,1.5,36.5,88.4,0.8,0.8,-,6.96
82,Jan Vertonghen,3,270,-,-,89.3,88.8,-,2.3,-,6.96
83,Pepe,4,360,-,-,72.5,83.8,-,4,-,6.96
84,Dejan Lovren,6,602,1,0.2,75.8,88.6,0.2,4.5,-,6.95
85,Aleksandar Mitrovic,3,263,-,0.7,22.3,80.6,-,1,-,6.95
86,Harry Souttar,4,360,-,0.3,41.8,82.6,-,3,-,6.94
87,Marcus Rashford,1(4),137,-,-,12.8,75,-,0.2,-,6.94
88,Josko Gvardiol,7,692,-,0.1,73.6,89.9,-,3.4,0.1,6.94
89,Otávio,3,199,-,1.3,40,78.3,0.7,1.7,0.3,6.93
90,Kalidou Koulibaly,4,360,-,0.3,51.3,76.1,-,4.3,-,6.93
91,Luke Shaw,5,425,1,1.6,68.8,86,1.8,1.8,-,6.93
92,Aurélien Tchouaméni,7,624,-,0.9,66.9,90.4,-,1.7,0.1,6.93
93,Ellyes Skhiri,3,270,-,1,41.3,87.1,-,2.7,-,6.92
94,João Cancelo,3(1),309,-,-,57.3,82.5,1.8,2.3,-,6.92
95,Dusan Tadic,3,258,2,3.3,35.7,78.5,1.7,0.3,-,6.92
96,Kieran Trippier,2(1),205,-,1,54.3,85.9,1.3,1.7,-,6.92
97,Diego Godín,2,152,-,-,51.5,84.5,-,3.5,-,6.91
98,Pervis Estupiñán,3,270,-,1.7,47,81.6,2.3,2,-,6.91
99,Declan Rice,5,418,-,0.2,63.6,94.3,-,2.8,-,6.90
100,Montassar Talbi,3,270,-,-,45.7,86.1,-,4.7,-,6.90
101,Famara Diédhiou,1(1),92,-,0.5,7,71.4,-,-,-,6.90
102,Toby Alderweireld,3,270,1,0.3,90.3,91.5,-,5.3,0.3,6.89
103,Andries Noppert,5,481,-,-,31.6,77.8,-,6,-,6.89
104,Angelo Preciado,3,265,1,1.3,30.7,77.2,1.7,0.7,-,6.89
105,Kevin De Bruyne,3,270,-,2.7,37.3,73.2,2.3,2,0.3,6.88
106,Vincent Aboubakar,1(2),141,1,0.7,10.3,64.5,-,0.3,-,6.88
107,Hakim Ziyech,7,639,1,1,37.9,77.4,0.3,2.7,-,6.88
108,César Montes,3,270,1,0.3,64.7,81.4,-,4,-,6.87
109,Youssouf Sabaly,4,360,-,2,46,87,0.5,2.5,0.5,6.87
110,Yassine Meriah,3,270,-,0.3,56,82.1,-,2,-,6.87
111,Raphinha,4(1),317,-,1.6,24.8,83.1,1,1.2,-,6.87
112,Marcelo Brozovic,6,555,-,0.8,87.5,88.8,-,4,-,6.86
113,Mohammed Salisu,3,270,-,0.7,50.3,72.2,-,1,-,6.86
114,Niclas Füllkrug,0(3),66,1,0.3,8,62.5,-,-,-,6.86
115,Ko Itakura,3,270,1,0.3,37,88.3,-,1.3,-,6.86
116,Ousmane Dembélé,6(1),438,2,1.6,24.4,80.1,1,1,-,6.86
117,Nouhou Tolo,3,270,-,-,27.7,79.5,0.7,2,-,6.86
118,Piotr Zielinski,4,330,-,1.8,34.3,83.9,2.3,1,-,6.86
119,Jules Koundé,5(1),482,-,0.2,43.8,82.9,-,2,-,6.85
120,Youssef En-Nesyri,7,547,-,0.1,11.3,63.3,-,0.3,-,6.85
121,Mohammed Kanno,3,270,-,-,49,81,-,2.3,-,6.85
122,Youssef Msakni,2,170,-,2,32,73.4,-,1,0.5,6.85
123,José Giménez,3,270,-,-,56.7,82.4,-,5,0.3,6.84
124,Nathan Aké,5,481,-,-,67.6,89.9,-,2.2,-,6.84
125,Tyler Adams,4,360,-,0.5,66,90.2,-,4.5,0.3,6.84
126,Leandro Paredes,2(3),226,-,0.4,48.8,93.9,-,1.8,-,6.81
127,Matt Turner,4,360,-,-,26,74,-,4.5,-,6.81
128,Félix Torres,3,270,1,0.3,68.7,81.6,-,4.3,-,6.81
129,Virgil van Dijk,5,481,-,0.4,71,87.6,-,4.2,0.2,6.80
130,Nicolás Otamendi,7,692,1,0.3,82.1,92.2,-,1.7,-,6.80
131,Salem Al Dawsari,3,270,-,2,35.3,80.2,0.3,2,-,6.80
132,Aziz Behich,4,360,-,-,38.5,76.6,-,0.5,-,6.80
133,Marcos Acuña,4(2),375,-,0.8,28.8,81.5,0.7,0.8,0.2,6.79
134,Aïssa Laïdouni,3,245,1,1.3,39.3,81.4,0.3,1.7,-,6.79
135,Aymen Dahmen,3,270,-,-,23.3,60,-,5.7,-,6.79
136,Jordan Henderson,3(1),272,-,1,38.3,87.6,0.5,1,0.3,6.79
137,Hwang Hee-Chan,1(1),114,-,0.5,26.5,81.1,-,-,-,6.78
138,Éder Militão,4,349,-,0.3,63.8,91.4,0.3,3.8,-,6.78
139,Kim Moon-Hwan,4,360,-,0.8,46,87,1.5,1.3,-,6.78
140,Alphonso Davies,3,270,-,2,28.7,77.9,0.3,0.7,-,6.77
141,Romain Saïss,6,469,-,-,33,80.3,-,2.8,-,6.77
142,Noussair Mazraoui,5,368,-,0.2,19.6,82.7,0.2,0.6,-,6.77
143,Nico Elvedi,2,180,-,-,71,92.3,-,2.5,-,6.77
144,Pierre-Emile Højbjerg,3,270,-,0.3,73.7,89.6,-,7.7,-,6.76
145,Wataru Endo,3(1),304,-,1,47.5,81.1,0.3,1,0.3,6.76
146,Axel Witsel,3,270,-,0.3,58.7,95.5,-,1.7,-,6.76
147,Wahbi Khazri,1(1),83,-,-,8.5,76.5,-,0.5,-,6.76
148,Vanja Milinkovic-Savic,3,270,-,-,34.7,66.3,-,6,-,6.76
149,Danilo,3,283,-,-,79.7,88.3,0.3,1,-,6.75
150,Yassine Bounou,6,571,-,-,31.8,72.8,-,6,-,6.75
151,Kyle Walker,3,237,-,-,52.7,91.1,-,4.7,-,6.75
