No.,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,Lionel Messi,7,692,7,3,1,-,4.6,85,0.6,2,8.25
2,Bruno Fernandes,4,357,2,3,1,-,2,87.6,0.5,2,8.15
3,Kylian Mbappé,6(1),598,8,2,-,-,4.4,82,0.1,3,8.00
4,Wojciech Szczesny,4,360,-,-,-,-,-,55,0.5,1,7.88
5,Jean-Charles Castelletto,2,180,1,1,-,-,0.5,83.5,1.5,-,7.71
6,Bukayo Saka,4,293,3,-,-,-,1.8,79.2,0.3,1,7.68
7,Jamal Musiala,3,259,-,1,-,-,4,81.6,0.7,1,7.64
8,Jude Bellingham,5,415,1,1,-,-,1,90.3,1.2,1,7.58
9,Cody Gakpo,5,456,3,-,-,-,1,73.6,1,1,7.53
10,Casemiro,4,391,1,-,1,-,2.3,83.1,0.8,-,7.53
11,Mohammed Kudus,3,250,2,-,1,-,2.7,75.9,-,-,7.53
12,Antoine Griezmann,6(1),538,-,3,1,-,0.9,83.9,0.7,2,7.52
13,Eduardo Camavinga,1(1),140,-,-,-,-,-,86.4,1,1,7.49
14,Neymar,3,282,2,1,-,-,4,81,-,1,7.45
15,Richarlison,4,326,3,-,-,-,2,71.4,1,2,7.41
16,Devis Epassy,2,180,-,-,-,-,-,65.3,1.5,1,7.39
17,Rodri,4,391,-,-,-,-,0.3,93.3,4,1,7.37
18,Giorgian de Arrascaeta,1(1),108,2,-,-,-,1.5,66.7,-,1,7.37
19,Harry Maguire,5,430,-,1,1,-,1.2,87.2,3,1,7.35
20,Harry Kane,5,404,2,3,-,-,2.4,66.7,1.8,-,7.34
21,César Azpilicueta,2,136,-,1,-,-,-,95.8,1,-,7.32
22,Mehdi Taremi,3,270,2,1,-,-,2,74.4,1.7,1,7.31
23,Edson Álvarez,2,176,-,-,1,-,0.5,75.4,5.5,-,7.31
24,Serge Gnabry,3,265,1,1,-,-,4,75.2,-,-,7.31
25,Enner Valencia,3,257,3,-,-,-,3,69.8,0.7,1,7.30
26,Mohammed Al Owais,3,270,-,-,1,-,-,50,1.3,1,7.27
27,Frenkie de Jong,5,477,1,1,1,-,0.4,89.1,1.6,2,7.27
28,Diogo Dalot,3,259,-,1,-,-,0.3,79.8,2,-,7.27
29,Jordi Alba,3(1),266,-,2,-,-,0.5,91,-,1,7.26
30,Rodrigo Bentancur,3,214,-,-,1,-,1,85.3,2,-,7.24
31,Ramin Rezaeian,2,180,1,-,1,-,1,74,0.5,-,7.23
32,Theo Hernández,5(1),508,1,2,1,-,0.8,86.8,1.3,1,7.22
33,Olivier Giroud,6,424,4,-,1,-,2.7,65.8,3.2,-,7.21
34,Vinícius Júnior,4,302,1,2,-,-,2.3,86.8,-,-,7.20
35,Daley Blind,5,424,1,1,-,-,1,84.9,1,1,7.19
36,David Raum,3,244,-,1,-,-,-,87.5,1.7,-,7.19
37,Adrien Rabiot,5(1),483,1,1,1,-,1.5,85,2.5,-,7.18
38,Kai Havertz,1(1),103,2,-,-,-,2.5,81.3,-,-,7.18
39,Randal Kolo Muani,1(2),181,1,-,-,-,1.3,61,3,-,7.17
40,Ritsu Doan,2(2),218,2,-,-,-,1,69.6,0.3,1,7.17
41,Robert Lewandowski,4,360,2,1,-,-,3,70.1,4,1,7.16
42,Joshua Kimmich,3,270,-,-,1,-,2.3,90.8,1.3,-,7.15
43,Phil Foden,3(1),259,1,2,-,-,1.5,81.4,0.8,-,7.15
44,Alex Sandro,2(1),192,-,-,-,-,0.3,91.6,1,1,7.14
45,Dani Olmo,4,368,1,1,-,-,3,85.6,-,1,7.14
46,Lucas Paquetá,4,317,1,1,-,-,1,84.8,0.8,-,7.13
47,Andreas Christensen,3,270,1,-,1,-,0.7,94.4,2,-,7.12
48,Ángel Di María,4(1),291,1,1,-,-,1.2,87.7,-,-,7.12
49,Thibaut Courtois,3,270,-,-,-,-,-,86.1,-,2,7.11
50,Alexis Mac Allister,6,556,1,1,-,-,1.2,89,0.8,-,7.11
51,Luis Chávez,3,270,1,-,-,-,3.3,78.2,1.7,1,7.10
52,João Félix,4,333,1,2,1,-,2.8,76.5,0.5,-,7.10
53,Leroy Sané,1(1),110,-,1,-,-,1.5,82.1,0.5,-,7.10
54,Ivan Perisic,7,673,1,3,-,-,2.3,74.7,2.4,1,7.08
55,Henry Martín,2,148,1,-,-,-,2,72.2,1.5,-,7.08
56,Christian Pulisic,4,316,1,2,-,-,2.3,72.7,0.5,1,7.07
57,Thiago Silva,4,391,-,1,-,-,0.5,93.6,1.5,-,7.07
58,Eric Choupo-Moting,3,254,1,-,-,-,1,66.7,3.7,-,7.07
59,Enzo Fernández,5(2),565,1,1,1,-,1.1,87.6,1.3,-,7.06
60,Silvan Widmer,3,266,-,1,1,-,0.3,75.4,1,-,7.04
61,Achraf Hakimi,7,634,-,1,-,-,0.6,83.1,0.7,-,7.04
62,Mathías Olivera,3,255,-,-,1,-,0.7,74.5,2,-,7.03
63,Álvaro Morata,1(3),184,3,1,-,-,2,68.3,0.3,-,7.03
64,Ismaïla Sarr,4,344,1,-,-,-,2.8,67.1,2,-,7.02
65,Pedri,4,358,-,-,-,-,-,90.9,0.5,-,7.01
66,Mateo Kovacic,7,640,-,-,2,-,0.4,90.8,0.6,-,7.00
67,Leander Dendoncker,2,162,-,-,1,-,0.5,97.5,1,-,7.00
68,Andrija Zivkovic,3,213,-,2,-,-,0.3,83.1,0.7,-,6.99
69,Aymeric Laporte,3,301,-,-,1,-,0.3,94.3,1.7,-,6.99
70,Cho Gue-Sung,3(1),276,2,-,1,-,2.3,64.5,5.3,1,6.99
71,Jurriën Timber,4,391,-,-,1,-,-,90.6,1,-,6.99
72,Hirving Lozano,3,253,-,-,-,-,2,72,0.3,-,6.99
73,Dominik Livakovic,7,692,-,-,1,-,-,81.3,0.1,1,6.99
74,Gonçalo Ramos,2(2),153,3,1,-,-,1.8,80.6,1,1,6.98
75,Gavi,4,287,1,-,-,-,0.3,88,0.5,-,6.98
76,Federico Valverde,3,270,-,-,-,-,2.3,86.1,0.3,-,6.98
77,Ibrahima Konaté,3(2),294,-,-,-,-,0.4,91.8,1,-,6.98
78,Luka Modric,7,657,-,-,1,-,0.9,88.6,0.4,-,6.97
79,Julián Álvarez,5(2),467,4,-,-,-,1.6,77.6,0.3,1,6.97
80,Ilkay Gündogan,3,192,1,-,-,-,2,89.8,1,1,6.96
81,Raphaël Guerreiro,3(1),279,1,2,-,-,0.8,88.4,0.5,-,6.96
82,Jan Vertonghen,3,270,-,-,-,-,0.7,88.8,3.7,-,6.96
83,Pepe,4,360,1,-,-,-,0.8,83.8,2.3,-,6.96
84,Dejan Lovren,6,602,-,1,1,-,0.7,88.6,2.8,1,6.95
85,Aleksandar Mitrovic,3,263,2,-,1,-,3.3,80.6,1.7,-,6.95
86,Harry Souttar,4,360,-,-,-,-,0.3,82.6,3.5,1,6.94
87,Marcus Rashford,1(4),137,3,-,-,-,2.2,75,0.2,1,6.94
88,Josko Gvardiol,7,692,1,-,-,-,0.3,89.9,0.4,-,6.94
89,Otávio,3,199,-,-,-,-,1,78.3,0.3,-,6.93
90,Kalidou Koulibaly,4,360,1,-,1,-,0.5,76.1,2.8,1,6.93
91,Luke Shaw,5,425,-,1,-,-,0.6,86,0.6,-,6.93
92,Aurélien Tchouaméni,7,624,1,-,1,-,0.9,90.4,0.7,-,6.93
93,Ellyes Skhiri,3,270,-,-,-,-,0.7,87.1,0.3,-,6.92
94,João Cancelo,3(1),309,-,-,-,-,0.5,82.5,2.5,-,6.92
95,Dusan Tadic,3,258,-,2,-,-,0.3,78.5,-,-,6.92
96,Kieran Trippier,2(1),205,-,-,-,-,0.3,85.9,1.3,-,6.92
97,Diego Godín,2,152,-,-,-,-,0.5,84.5,4,1,6.91
98,Pervis Estupiñán,3,270,-,-,-,-,0.3,81.6,1,-,6.91
99,Declan Rice,5,418,-,-,-,-,-,94.3,0.6,-,6.90
100,Montassar Talbi,3,270,-,-,-,-,0.3,86.1,2.7,-,6.90
101,Famara Diédhiou,1(1),92,1,-,-,-,1.5,71.4,2.5,1,6.90
102,Toby Alderweireld,3,270,-,1,-,-,-,91.5,0.3,-,6.89
103,Andries Noppert,5,481,-,-,-,-,-,77.8,-,-,6.89
104,Angelo Preciado,3,265,-,1,-,-,1.3,77.2,1,-,6.89
105,Kevin De Bruyne,3,270,-,-,-,-,2.3,73.2,1.3,-,6.88
106,Vincent Aboubakar,1(2),141,2,1,-,1,2,64.5,0.7,1,6.88
107,Hakim Ziyech,7,639,1,1,-,-,1.4,77.4,0.4,-,6.88
108,César Montes,3,270,-,1,-,-,0.3,81.4,2.3,-,6.87
109,Youssouf Sabaly,4,360,-,-,-,-,0.5,87,1,-,6.87
110,Yassine Meriah,3,270,-,-,-,-,0.3,82.1,1.7,-,6.87
111,Raphinha,4(1),317,-,-,-,-,1.6,83.1,-,-,6.87
112,Marcelo Brozovic,6,555,-,-,1,-,0.7,88.8,1,-,6.86
113,Mohammed Salisu,3,270,1,-,-,-,0.7,72.2,2.7,-,6.86
114,Niclas Füllkrug,0(3),66,2,1,-,-,2.7,62.5,1.3,-,6.86
115,Ko Itakura,3,270,-,1,2,-,1,88.3,-,-,6.86
116,Ousmane Dembélé,6(1),438,-,2,1,-,1.1,80.1,0.3,-,6.86
117,Nouhou Tolo,3,270,-,-,1,-,-,79.5,1.3,-,6.86
118,Piotr Zielinski,4,330,1,-,-,-,0.8,83.9,-,-,6.86
119,Jules Koundé,5(1),482,-,-,1,-,0.7,82.9,0.8,-,6.85
120,Youssef En-Nesyri,7,547,2,-,-,-,1.3,63.3,3.1,1,6.85
121,Mohammed Kanno,3,270,-,-,-,-,2,81,2.7,-,6.85
122,Youssef Msakni,2,170,-,-,-,-,4.5,73.4,1.5,-,6.85
123,José Giménez,3,270,-,-,1,-,1,82.4,2.7,-,6.84
124,Nathan Aké,5,481,-,-,1,-,-,89.9,2,-,6.84
125,Tyler Adams,4,360,-,-,1,-,0.3,90.2,1.3,-,6.84
126,Leandro Paredes,2(3),226,-,-,2,-,0.2,93.9,1,-,6.81
127,Matt Turner,4,360,-,-,-,-,-,74,0.5,-,6.81
128,Félix Torres,3,270,-,1,-,-,0.3,81.6,3,-,6.81
129,Virgil van Dijk,5,481,-,-,-,-,0.6,87.6,2.8,-,6.80
130,Nicolás Otamendi,7,692,-,1,2,-,0.1,92.2,3,-,6.80
131,Salem Al Dawsari,3,270,2,-,1,-,2.3,80.2,0.3,-,6.80
132,Aziz Behich,4,360,-,-,1,-,0.5,76.6,0.5,-,6.80
133,Marcos Acuña,4(2),375,-,-,3,-,0.3,81.5,0.8,-,6.79
134,Aïssa Laïdouni,3,245,-,1,1,-,0.7,81.4,1,-,6.79
135,Aymen Dahmen,3,270,-,-,-,-,-,60,-,-,6.79
136,Jordan Henderson,3(1),272,1,-,-,-,0.5,87.6,0.5,-,6.79
137,Hwang Hee-Chan,1(1),114,1,-,1,-,3,81.1,-,-,6.78
138,Éder Militão,4,349,-,-,1,-,1.3,91.4,1.3,-,6.78
139,Kim Moon-Hwan,4,360,-,-,-,-,-,87,1.5,-,6.78
140,Alphonso Davies,3,270,1,-,1,-,1.3,77.9,1,-,6.77
141,Romain Saïss,6,469,1,-,1,-,0.2,80.3,1.2,1,6.77
142,Noussair Mazraoui,5,368,-,-,-,-,0.8,82.7,0.2,-,6.77
143,Nico Elvedi,2,180,-,-,1,-,0.5,92.3,1,-,6.77
144,Pierre-Emile Højbjerg,3,270,-,-,-,-,0.7,89.6,0.3,-,6.76
145,Wataru Endo,3(1),304,-,-,1,-,1.5,81.1,2,-,6.76
146,Axel Witsel,3,270,-,-,-,-,0.3,95.5,1.3,-,6.76
147,Wahbi Khazri,1(1),83,1,-,-,-,2.5,76.5,-,-,6.76
148,Vanja Milinkovic-Savic,3,270,-,-,-,-,-,66.3,0.3,-,6.76
149,Danilo,3,283,-,-,1,-,0.7,88.3,1.3,-,6.75
150,Yassine Bounou,6,571,-,-,-,-,-,72.8,0.3,1,6.75
151,Kyle Walker,3,237,-,-,-,-,-,91.1,1.3,-,6.75
152,Carlos Soler,0(2),91,1,-,-,-,2,96.2,-,-,6.74
153,Jorge Sánchez,2,176,-,-,1,-,0.5,78.3,1.5,-,6.74
154,Sergej Milinkovic-Savic,3,236,1,-,1,-,1,72.3,1,-,6.74
155,Kim Jin-Su,4,316,-,1,-,-,1,77,2.5,-,6.74
